fishID,station,length_mm,maj_class,VBage,num_rakers,len_arch,num_len_ratio
39555,DAL_01,107,NS,2,40,20.96,1.908396947
40817,FKN_06,70,NS,1,34,11.705,2.904741563
40823,FKN_06,86,NS,1,31,15.953,1.943208174
40824,FKN_06,87,NS,1,29,12.978,2.234550778
40865,FKN_06,79,NS,1,31,12.833,2.41564716
40866,FKN_06,63,NS,1,33,12.049,2.738816499
40870,FKN_06,71,NS,1,35,14.481,2.416960155
40871,FKN_06,75,NS,1,27,15.594,1.731435167
40960,FRK_06,107,OS,2,37,21.832,1.694759985
41984,DUS_08,143,US,3,43,28.45,1.51142355
41990,DUS_08,113,US,2,25,22.774,1.09774304
41992,DUS_08,137,US,3,38,26.904,1.412429379
41998,DUS_08,126,US,2,38,27.809,1.366464094
41999,DUS_08,168,US,4,39,26.219,1.487470918
44042,MTI_06,78,OS,1,28,14.261,1.963396676
44048,MTI_06,73,OS,1,24,10.651,2.253309548
46604,CPB_10,174,US,4,37,35.828,1.032711845
47595,CPB_03,117,US,2,39,22.92,1.701570681
48075,KUG_03,145,OS,3,40,29.41,1.360081605
48110,KUG_03,111,OS,2,25,17.653,1.416189883
48111,KUG_03,118,OS,2,31,24.927,1.243631404
50132,FKN_04,117,OS,2,38,23.364,1.62643383
52129,BPT_05,77,OS,1,25,15.074,1.658484808
52156,BPT_05,97,OS,2,39,19.239,2.027132387
52169,BPT_05,171,OS,4,35,34.326,1.019635262
55377,KUG_05,142,US,3,41,27.797,1.474979314
55542,KUG_04,73,US,1,33,14.936,2.209426888
55548,KUG_04,125,US,2,36,25.187,1.42930877
55549,KUG_04,138,US,3,40,29.981,1.334178313
60095,AMG_03,138,LS,3,38,23.879,1.591356422
60109,AMG_03,158,LS,3,37,24.343,1.519944132
60110,AMG_03,173,LS,4,46,32.677,1.407717967
60113,AMG_03,146,LS,3,38,31.086,1.222415235
60120,AMG_03,132,LS,2,43,26.325,1.6334283
60123,AMG_03,150,LS,3,39,31.777,1.227302766
60161,AMG_03,135,LS,3,39,27.078,1.440283625
64111,MTI_04,150,OS,3,43,27.966,1.537581349